Performance Statistics   2020-05-03 00:00:00 - 2020-05-03 00:02:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.teststp_Debitor.browse                       1250.0        1250        1250         0.0           1
commonLookup#afterShow                                   0.0           0           0         0.0           1
commonLookup#beforeShow                                  1.0           1           1         0.0           1
commonLookup#create                                      8.0           8           8         0.0           1
commonLookup#init                                      178.0         178         178         0.0           1
commonLookup#inject                                     18.0          18          18         0.0           1
commonLookup#load                                        3.0           3           3         0.0           1
commonLookup#uiPermissions                               0.0           0           0         0.0           1
commonLookup#xml                                         2.0           0           4         2.0           2
commonLookup.lookupWindowActions#init                    0.0           0           0         0.0           1
commonLookup@entitiesDs                                 26.0          26          26         0.0           1
login#afterShow                                          0.0           0           0         0.0           2
login#beforeShow                                         1.5           0           3         1.5           2
login#create                                            97.5           5         190        92.5           2
login#init                                              11.0           1          21        10.0           2
login#inject                                            27.5           0          55        27.5           2
login#load                                             398.5          39         758       359.5           2
login#uiPermissions                                      0.5           0           1         0.5           2
login#xml                                                9.0           0          18         9.0           2
lookupWindowActions#create                              19.0          11          27         8.0           2
lookupWindowActions#inject                               9.5           6          13         3.5           2
lookupWindowActions#load                                10.5           9          12         1.5           2
lookupWindowActions#xml                                  0.5           0           2         0.9           4
main#afterShow                                          14.0          14          14         0.0           1
main#beforeShow                                          0.0           0           0         0.0           1
main#create                                             28.0          28          28         0.0           1
main#init                                               23.0          23          23         0.0           1
main#inject                                             12.0          12          12         0.0           1
main#load                                              298.0         298         298         0.0           1
main#uiPermissions                                       0.0           0           0         0.0           1
main#xml                                                 4.0           4           4         0.0           1
report$Report.run#afterShow                              0.0           0           0         0.0           1
report$Report.run#beforeShow                            11.0          11          11         0.0           1
report$Report.run#create                                40.0          40          40         0.0           1
report$Report.run#init                                 439.0         439         439         0.0           1
report$Report.run#inject                                47.0          47          47         0.0           1
report$Report.run#load                                 328.0         328         328         0.0           1
report$Report.run#uiPermissions                          0.0           0           0         0.0           1
report$Report.run#xml                                    1.5           1           2         0.5           2
report$Report.run.lookupWindowActions#init               0.0           0           0         0.0           1
report$Report.run@reportGroupsDs                       345.0         345         345         0.0           1
report$inputParameters#afterShow                         0.0           0           0         0.0           1
report$inputParameters#beforeShow                        0.0           0           0         0.0           1
report$inputParameters#create                            7.0           7           7         0.0           1
report$inputParameters#init                              0.0           0           0         0.0           1
report$inputParameters#inject                           13.0          13          13         0.0           1
report$inputParameters#load                             51.0          51          51         0.0           1
report$inputParameters#uiPermissions                     0.0           0           0         0.0           1
report$inputParameters#xml                               3.0           0           6         3.0           2
report$inputParameters.inputParametersFrame#init       401.0         401         401         0.0           1
report$inputParameters.inputParametersFrame#inject        10.0          10          10         0.0           1
report$inputParameters.inputParametersFrame#load         4.0           4           4         0.0           1
report$inputParameters.inputParametersFrame@templateReportsDs        53.0          53          53         0.0           1
report$inputParametersFrame#create                      33.0          33          33         0.0           1
report$inputParametersFrame#xml                          1.0           0           2         1.0           2
teststp_Debitor.browse#afterShow                         0.0           0           0         0.0           1
teststp_Debitor.browse#beforeShow                       97.0          97          97         0.0           1
teststp_Debitor.browse#create                           28.0          28          28         0.0           1
teststp_Debitor.browse#init                              4.0           4           4         0.0           1
teststp_Debitor.browse#inject                            4.0           4           4         0.0           1
teststp_Debitor.browse#load                            873.0         873         873         0.0           1
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               8.0           8           8         0.0           1

Performance Statistics   2020-05-03 00:02:00 - 2020-05-03 00:04:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.report$Report.browse                          190.0         138         242        52.0           2
bandEditor#create                                      173.5         127         220        46.5           2
bandEditor#xml                                           1.0           0           4         1.7           4
editWindowActions#create                                11.0          11          11         0.0           1
editWindowActions#xml                                    0.5           0           1         0.5           2
formatsFrame#create                                     19.5          17          22         2.5           2
formatsFrame#xml                                         0.5           0           2         0.9           4
generalFrame#create                                    387.5         177         598       210.5           2
generalFrame#xml                                         0.8           0           3         1.3           4
localesFrame#create                                     13.0          12          14         1.0           2
localesFrame#xml                                         0.5           0           2         0.9           4
lookupWindowActions#create                               6.0           6           6         0.0           2
lookupWindowActions#inject                               0.0           0           0         0.0           2
lookupWindowActions#load                                 6.0           5           7         1.0           2
lookupWindowActions#xml                                  0.0           0           0         0.0           4
parametersFrame#create                                  40.0          34          46         6.0           2
parametersFrame#xml                                      0.5           0           2         0.9           4
report$ChartEdit#create                                 39.0          39          39         0.0           1
report$ChartEdit#xml                                     1.0           0           2         1.0           2
report$PivotTableEdit#create                            75.0          75          75         0.0           1
report$PivotTableEdit#xml                                1.0           0           2         1.0           2
report$Report.browse#afterShow                           0.0           0           0         0.0           2
report$Report.browse#beforeShow                          0.0           0           0         0.0           2
report$Report.browse#create                              7.0           6           8         1.0           2
report$Report.browse#init                                6.5           1          12         5.5           2
report$Report.browse#inject                              9.0           0          18         9.0           2
report$Report.browse#load                               79.5          64          95        15.5           2
report$Report.browse#uiPermissions                       0.0           0           0         0.0           2
report$Report.browse#xml                                 0.8           0           2         0.8           4
report$Report.browse.lookupWindowActions#init            0.0           0           0         0.0           2
report$Report.browse@reportDs                           21.5          18          25         3.5           2
report$Report.edit#afterShow                             0.5           0           1         0.5           2
report$Report.edit#beforeShow                            4.0           0           8         4.0           2
report$Report.edit#companion                             0.0           0           0         0.0           2
report$Report.edit#create                                7.0           5           9         2.0           2
report$Report.edit#init                                373.0          55         691       318.0           2
report$Report.edit#inject                               14.5           1          28        13.5           2
report$Report.edit#load                               1884.5        1116        2653       768.5           2
report$Report.edit#uiPermissions                         0.0           0           0         0.0           2
report$Report.edit#xml                                   0.6           0           3         1.2          10
report$Report.edit.formatsFrame#init                     0.0           0           0         0.0           2
report$Report.edit.formatsFrame#inject                   0.0           0           0         0.0           2
report$Report.edit.formatsFrame#load                     2.0           1           3         1.0           2
report$Report.edit.generalFrame#init                     0.0           0           0         0.0           2
report$Report.edit.generalFrame#inject                   0.0           0           0         0.0           2
report$Report.edit.generalFrame#load                  1145.0         672        1618       473.0           2
report$Report.edit.generalFrame.bandEditor#init         10.5           1          20         9.5           2
report$Report.edit.generalFrame.bandEditor#inject         8.0           1          15         7.0           2
report$Report.edit.generalFrame.bandEditor#load        550.5         441         660       109.5           2
report$Report.edit.localesFrame#init                     0.0           0           0         0.0           2
report$Report.edit.localesFrame#inject                   0.5           0           1         0.5           2
report$Report.edit.localesFrame#load                    36.0          30          42         6.0           2
report$Report.edit.parametersFrame#init                  0.0           0           0         0.0           2
report$Report.edit.parametersFrame#inject                0.0           0           0         0.0           2
report$Report.edit.parametersFrame#load                 82.5          61         104        21.5           2
report$Report.edit.securityFrame#init                    0.0           0           0         0.0           2
report$Report.edit.securityFrame#inject                  0.0           0           0         0.0           2
report$Report.edit.securityFrame#load                    5.5           3           8         2.5           2
report$Report.edit.templatesFrame#init                   0.0           0           0         0.0           2
report$Report.edit.templatesFrame#inject                 0.0           0           0         0.0           2
report$Report.edit.templatesFrame#load                   3.5           2           5         1.5           2
report$Report.edit@groupsDs                             75.0          19         131        56.0           2
report$ReportTemplate.edit#afterShow                    33.0          33          33         0.0           1
report$ReportTemplate.edit#beforeShow                    9.0           9           9         0.0           1
report$ReportTemplate.edit#create                        7.0           7           7         0.0           1
report$ReportTemplate.edit#init                          7.0           7           7         0.0           1
report$ReportTemplate.edit#inject                       46.0          46          46         0.0           1
report$ReportTemplate.edit#load                       1579.0        1579        1579         0.0           1
report$ReportTemplate.edit#uiPermissions                 0.0           0           0         0.0           1
report$ReportTemplate.edit#xml                           1.2           0           6         2.4           5
report$ReportTemplate.edit.chartEdit#init               51.0          51          51         0.0           1
report$ReportTemplate.edit.chartEdit#inject             12.0          12          12         0.0           1
report$ReportTemplate.edit.chartEdit#load              516.0         516         516         0.0           1
report$ReportTemplate.edit.pivotTableEdit#init          75.0          75          75         0.0           1
report$ReportTemplate.edit.pivotTableEdit#inject        20.0          20          20         0.0           1
report$ReportTemplate.edit.pivotTableEdit#load         369.0         369         369         0.0           1
report$ReportTemplate.edit.tableEdit#init                8.0           8           8         0.0           1
report$ReportTemplate.edit.tableEdit#inject             23.0          23          23         0.0           1
report$ReportTemplate.edit.tableEdit#load                7.0           7           7         0.0           1
report$ReportTemplate.edit.windowActions#init            0.0           0           0         0.0           1
report$ReportTemplate.edit.windowActions#inject          0.0           0           0         0.0           1
report$ReportTemplate.edit.windowActions#load            0.0           0           0         0.0           1
report$TableEditFrame#create                            32.0          32          32         0.0           1
report$TableEditFrame#xml                                1.0           0           2         1.0           2
securityFrame#create                                    52.0          50          54         2.0           2
securityFrame#xml                                        0.8           0           3         1.3           4
templatesFrame#create                                   21.0          19          23         2.0           2
templatesFrame#xml                                       0.5           0           2         0.9           4

Performance Statistics   2020-05-03 00:04:00 - 2020-05-03 00:06:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.teststp_Debitor.browse                        114.0         114         114         0.0           1
commonLookup#afterShow                                   0.0           0           0         0.0           1
commonLookup#beforeShow                                  1.0           1           1         0.0           1
commonLookup#create                                      7.0           7           7         0.0           1
commonLookup#init                                       81.0          81          81         0.0           1
commonLookup#inject                                      0.0           0           0         0.0           1
commonLookup#load                                        2.0           2           2         0.0           1
commonLookup#uiPermissions                               0.0           0           0         0.0           1
commonLookup#xml                                         0.5           0           1         0.5           2
commonLookup.lookupWindowActions#init                    0.0           0           0         0.0           1
commonLookup@entitiesDs                                 14.0          14          14         0.0           1
editWindowActions#create                                11.0          11          11         0.0           1
editWindowActions#xml                                    0.0           0           0         0.0           2
lookupWindowActions#create                               7.0           7           7         0.0           2
lookupWindowActions#inject                               0.0           0           0         0.0           2
lookupWindowActions#load                                 5.0           5           5         0.0           2
lookupWindowActions#xml                                  0.0           0           0         0.0           4
report$ChartEdit#create                                 36.0          36          36         0.0           1
report$ChartEdit#xml                                     0.0           0           0         0.0           2
report$PivotTableEdit#create                            60.0          60          60         0.0           1
report$PivotTableEdit#xml                                0.0           0           0         0.0           2
report$Report.run#afterShow                              0.0           0           0         0.0           1
report$Report.run#beforeShow                             1.0           1           1         0.0           1
report$Report.run#create                                 6.0           6           6         0.0           1
report$Report.run#init                                  54.0          54          54         0.0           1
report$Report.run#inject                                 0.0           0           0         0.0           1
report$Report.run#load                                  36.0          36          36         0.0           1
report$Report.run#uiPermissions                          0.0           0           0         0.0           1
report$Report.run#xml                                    1.0           0           2         1.0           2
report$Report.run.lookupWindowActions#init               0.0           0           0         0.0           1
report$Report.run@reportGroupsDs                        11.0          11          11         0.0           1
report$ReportTemplate.edit#afterShow                     4.0           4           4         0.0           1
report$ReportTemplate.edit#beforeShow                    0.0           0           0         0.0           1
report$ReportTemplate.edit#create                        6.0           6           6         0.0           1
report$ReportTemplate.edit#init                          1.0           1           1         0.0           1
report$ReportTemplate.edit#inject                        1.0           1           1         0.0           1
report$ReportTemplate.edit#load                       1074.0        1074        1074         0.0           1
report$ReportTemplate.edit#uiPermissions                 0.0           0           0         0.0           1
report$ReportTemplate.edit#xml                           0.6           0           3         1.2           5
report$ReportTemplate.edit.chartEdit#init                2.0           2           2         0.0           1
report$ReportTemplate.edit.chartEdit#inject              0.0           0           0         0.0           1
report$ReportTemplate.edit.chartEdit#load              339.0         339         339         0.0           1
report$ReportTemplate.edit.pivotTableEdit#init           9.0           9           9         0.0           1
report$ReportTemplate.edit.pivotTableEdit#inject         0.0           0           0         0.0           1
report$ReportTemplate.edit.pivotTableEdit#load         343.0         343         343         0.0           1
report$ReportTemplate.edit.tableEdit#init                0.0           0           0         0.0           1
report$ReportTemplate.edit.tableEdit#inject              0.0           0           0         0.0           1
report$ReportTemplate.edit.tableEdit#load                3.0           3           3         0.0           1
report$ReportTemplate.edit.windowActions#init            0.0           0           0         0.0           1
report$ReportTemplate.edit.windowActions#inject          0.0           0           0         0.0           1
report$ReportTemplate.edit.windowActions#load            0.0           0           0         0.0           1
report$TableEditFrame#create                            29.0          29          29         0.0           1
report$TableEditFrame#xml                                0.0           0           0         0.0           2
report$inputParameters#afterShow                         0.0           0           0         0.0           1
report$inputParameters#beforeShow                        0.0           0           0         0.0           1
report$inputParameters#create                            7.0           7           7         0.0           1
report$inputParameters#init                              0.0           0           0         0.0           1
report$inputParameters#inject                            1.0           1           1         0.0           1
report$inputParameters#load                             31.0          31          31         0.0           1
report$inputParameters#uiPermissions                     0.0           0           0         0.0           1
report$inputParameters#xml                               1.0           0           2         1.0           2
report$inputParameters.inputParametersFrame#init        63.0          63          63         0.0           1
report$inputParameters.inputParametersFrame#inject         0.0           0           0         0.0           1
report$inputParameters.inputParametersFrame#load         0.0           0           0         0.0           1
report$inputParameters.inputParametersFrame@templateReportsDs        13.0          13          13         0.0           1
report$inputParametersFrame#create                      22.0          22          22         0.0           1
report$inputParametersFrame#xml                          0.0           0           0         0.0           2
teststp_Debitor.browse#afterShow                         0.0           0           0         0.0           1
teststp_Debitor.browse#beforeShow                       12.0          12          12         0.0           1
teststp_Debitor.browse#create                            5.0           5           5         0.0           1
teststp_Debitor.browse#init                              1.0           1           1         0.0           1
teststp_Debitor.browse#inject                            0.0           0           0         0.0           1
teststp_Debitor.browse#load                             56.0          56          56         0.0           1
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               1.0           1           1         0.0           1

Performance Statistics   2020-05-03 00:06:00 - 2020-05-03 00:08:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.report$Report.browse                          126.5         124         129         2.5           2
MenuItem.teststp_Debitor.browse                        102.0         102         102         0.0           1
bandEditor#create                                      127.5         125         130         2.5           2
bandEditor#xml                                           0.0           0           0         0.0           4
editWindowActions#create                                11.0          11          11         0.0           2
editWindowActions#xml                                    0.0           0           0         0.0           4
formatsFrame#create                                     17.0          17          17         0.0           2
formatsFrame#xml                                         0.0           0           0         0.0           4
generalFrame#create                                    178.0         173         183         5.0           2
generalFrame#xml                                         0.0           0           0         0.0           4
localesFrame#create                                     12.0          12          12         0.0           2
localesFrame#xml                                         0.0           0           0         0.0           4
lookupWindowActions#create                               6.0           6           6         0.0           2
lookupWindowActions#inject                               0.0           0           0         0.0           2
lookupWindowActions#load                                 4.0           4           4         0.0           2
lookupWindowActions#xml                                  0.0           0           0         0.0           4
parametersFrame#create                                  34.0          33          35         1.0           2
parametersFrame#xml                                      0.0           0           0         0.0           4
report$ChartEdit#create                                 35.5          35          36         0.5           2
report$ChartEdit#xml                                     0.0           0           0         0.0           4
report$PivotTableEdit#create                            59.0          57          61         2.0           2
report$PivotTableEdit#xml                                0.0           0           0         0.0           4
report$Report.browse#afterShow                           0.0           0           0         0.0           2
report$Report.browse#beforeShow                          0.0           0           0         0.0           2
report$Report.browse#create                              5.5           5           6         0.5           2
report$Report.browse#init                                1.0           1           1         0.0           2
report$Report.browse#inject                              0.0           0           0         0.0           2
report$Report.browse#load                               57.5          56          59         1.5           2
report$Report.browse#uiPermissions                       0.0           0           0         0.0           2
report$Report.browse#xml                                 0.8           0           3         1.3           4
report$Report.browse.lookupWindowActions#init            0.0           0           0         0.0           2
report$Report.browse@reportDs                           16.0          15          17         1.0           2
report$Report.edit#afterShow                             0.0           0           0         0.0           2
