Performance Statistics   2020-05-05 14:56:00 - 2020-05-05 14:58:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
MenuItem.teststp_Debitor.browse                      10348.0       10348       10348         0.0           1
login#afterShow                                          0.0           0           0         0.0           1
login#beforeShow                                         3.0           3           3         0.0           1
login#create                                           145.0         145         145         0.0           1
login#init                                              27.0          27          27         0.0           1
login#inject                                            77.0          77          77         0.0           1
login#load                                             662.0         662         662         0.0           1
login#uiPermissions                                      2.0           2           2         0.0           1
login#xml                                               11.0          11          11         0.0           1
main#afterShow                                          12.0          12          12         0.0           1
main#beforeShow                                          0.0           0           0         0.0           1
main#create                                             35.0          35          35         0.0           1
main#init                                               28.0          28          28         0.0           1
main#inject                                             13.0          13          13         0.0           1
main#load                                              327.0         327         327         0.0           1
main#uiPermissions                                       0.0           0           0         0.0           1
main#xml                                                 3.0           3           3         0.0           1
teststp_Debitor.browse#afterShow                         0.0           0           0         0.0           1
teststp_Debitor.browse#beforeShow                      103.0         103         103         0.0           1
teststp_Debitor.browse#create                           22.0          22          22         0.0           1
teststp_Debitor.browse#init                              4.0           4           4         0.0           1
teststp_Debitor.browse#inject                            2.0           2           2         0.0           1
teststp_Debitor.browse#load                          10002.0       10002       10002         0.0           1
teststp_Debitor.browse#uiPermissions                     0.0           0           0         0.0           1
teststp_Debitor.browse#xml                               6.0           6           6         0.0           1

Performance Statistics   2020-05-05 14:58:00 - 2020-05-05 15:00:00
Tag                                                  Avg(ms)         Min         Max     Std Dev       Count
commonLookup#afterShow                                   0.0           0           0         0.0           1
commonLookup#beforeShow                                  1.0           1           1         0.0           1
commonLookup#create                                      6.0           6           6         0.0           1
commonLookup#init                                      132.0         132         132         0.0           1
commonLookup#inject                                     16.0          16          16         0.0           1
commonLookup#load                                        2.0           2           2         0.0           1
commonLookup#uiPermissions                               0.0           0           0         0.0           1
commonLookup#xml                                         0.5           0           1         0.5           2
commonLookup.lookupWindowActions#init                    0.0           0           0         0.0           1
commonLookup@entitiesDs                                 25.0          25          25         0.0           1
lookupWindowActions#create                              15.5           5          26        10.5           2
lookupWindowActions#inject                              11.5           0          23        11.5           2
